cod_mun,municipio
17-12-122,"Useras/Useres, les"
17-12-123,Vallat
17-12-124,Vall d'Alba
17-12-125,Vall de Almonacid
17-12-126,"Vall d'Uixó, la"
17-12-127,Vallibona
17-12-128,Vilafamés
17-12-129,Vilafranca/Villafranca del Cid
17-12-130,Villahermosa del Río
17-12-131,Villamalur
17-12-132,Vilanova d'Alcolea
17-12-133,Villanueva de Viver
17-12-134,Vilar de Canes
17-12-135,Vila-real
17-12-136,"Vilavella, la"
17-12-137,Villores
17-12-138,Vinaròs
17-12-139,Vistabella del Maestrat
17-12-140,Viver
17-12-141,Zorita del Maestrazgo
17-12-142,Zucaina
17-12-901,"Alqueries, les/Alquerías del Niño Perdido"
17-12-902,Sant Joan de Moró
07-13-001,Abenójar
07-13-002,Agudo
07-13-003,Alamillo
07-13-004,Albaladejo
07-13-005,Alcázar de San Juan
07-13-006,Alcoba
07-13-007,Alcolea de Calatrava
07-13-008,Alcubillas
07-13-009,Aldea del Rey
07-13-010,Alhambra
07-13-011,Almadén
07-13-012,Almadenejos
07-13-013,Almagro
07-13-014,Almedina
07-13-015,Almodóvar del Campo
07-13-016,Almuradiel
07-13-017,Anchuras
07-13-018,Arenas de San Juan
07-13-019,Argamasilla de Alba
07-13-020,Argamasilla de Calatrava
07-13-021,Arroba de los Montes
07-13-022,Ballesteros de Calatrava
07-13-023,Bolaños de Calatrava
07-13-024,Brazatortas
07-13-025,Cabezarados
07-13-026,Cabezarrubias del Puerto
07-13-027,Calzada de Calatrava
07-13-028,Campo de Criptana
07-13-029,Cañada de Calatrava
07-13-030,Caracuel de Calatrava
07-13-031,Carrión de Calatrava
07-13-032,Carrizosa
07-13-033,Castellar de Santiago
07-13-034,Ciudad Real
07-13-035,Corral de Calatrava
07-13-036,"Cortijos, Los"
07-13-037,Cózar
07-13-038,Chillón
07-13-039,Daimiel
07-13-040,Fernán Caballero
07-13-041,Fontanarejo
07-13-042,Fuencaliente
07-13-043,Fuenllana
07-13-044,Fuente el Fresno
07-13-045,Granátula de Calatrava
07-13-046,Guadalmez
07-13-047,Herencia
07-13-048,Hinojosas de Calatrava
07-13-049,Horcajo de los Montes
07-13-050,"Labores, Las"
07-13-051,Luciana
07-13-052,Malagón
07-13-053,Manzanares
07-13-054,Membrilla
07-13-055,Mestanza
07-13-056,Miguelturra
07-13-057,Montiel
07-13-058,Moral de Calatrava
07-13-059,Navalpino
07-13-060,Navas de Estena
07-13-061,Pedro Muñoz
07-13-062,Picón
07-13-063,Piedrabuena
07-13-064,Poblete
07-13-065,Porzuna
07-13-066,Pozuelo de Calatrava
07-13-067,"Pozuelos de Calatrava, Los"
07-13-068,Puebla de Don Rodrigo
07-13-069,Puebla del Príncipe
07-13-070,Puerto Lápice
07-13-071,Puertollano
07-13-072,Retuerta del Bullaque
07-13-073,Saceruela
07-13-074,San Carlos del Valle
07-13-075,San Lorenzo de Calatrava
07-13-076,Santa Cruz de los Cáñamos
07-13-077,Santa Cruz de Mudela
07-13-078,Socuéllamos
07-13-079,"Solana, La"
07-13-080,Solana del Pino
07-13-081,Terrinches
07-13-082,Tomelloso
07-13-083,Torralba de Calatrava
07-13-084,Torre de Juan Abad
07-13-085,Torrenueva
07-13-086,Valdemanco del Esteras
07-13-087,Valdepeñas
07-13-088,Valenzuela de Calatrava
07-13-089,Villahermosa
07-13-090,Villamanrique
07-13-091,Villamayor de Calatrava
07-13-092,Villanueva de la Fuente
07-13-093,Villanueva de los Infantes
07-13-094,Villanueva de San Carlos
07-13-095,Villar del Pozo
07-13-096,Villarrubia de los Ojos
07-13-097,Villarta de San Juan
07-13-098,Viso del Marqués
07-13-901,"Robledo, El"
07-13-902,Ruidera
07-13-903,Arenales de San Gregorio
07-13-904,Llanos del Caudillo
01-14-001,Adamuz
01-14-002,Aguilar de la Frontera
01-14-003,Alcaracejos
01-14-004,Almedinilla
01-14-005,Almodóvar del Río
01-14-006,Añora
01-14-007,Baena
01-14-008,Belalcázar
01-14-009,Belmez
01-14-010,Benamejí
01-14-011,"Blázquez, Los"
01-14-012,Bujalance
01-14-013,Cabra
01-14-014,Cañete de las Torres
01-14-015,Carcabuey
01-14-016,Cardeña
01-14-017,"Carlota, La"
01-14-018,"Carpio, El"
01-14-019,Castro del Río
01-14-020,Conquista
01-14-021,Córdoba
01-14-022,Doña Mencía
01-14-023,Dos Torres
01-14-024,Encinas Reales
01-14-025,Espejo
01-14-026,Espiel
01-14-027,Fernán-Núñez
01-14-028,Fuente la Lancha
01-14-029,Fuente Obejuna
01-14-030,Fuente Palmera
01-14-031,Fuente-Tójar
01-14-032,"Granjuela, La"
01-14-033,Guadalcázar
01-14-034,"Guijo, El"
01-14-035,Hinojosa del Duque
01-14-036,Hornachuelos
01-14-037,Iznájar
01-14-038,Lucena
01-14-039,Luque
01-14-040,Montalbán de Córdoba
01-14-041,Montemayor
01-14-042,Montilla
01-14-043,Montoro
01-14-044,Monturque
01-14-045,Moriles
01-14-046,Nueva Carteya
01-14-047,Obejo
01-14-048,Palenciana
01-14-049,Palma del Río
01-14-050,Pedro Abad
01-14-051,Pedroche
01-14-052,Peñarroya-Pueblonuevo
01-14-053,Posadas
01-14-054,Pozoblanco
01-14-055,Priego de Córdoba
01-14-056,Puente Genil
01-14-057,"Rambla, La"
01-14-058,Rute
01-14-059,San Sebastián de los Ballesteros
01-14-060,Santaella
01-14-061,Santa Eufemia
01-14-062,Torrecampo
01-14-063,Valenzuela
01-14-064,Valsequillo
01-14-065,"Victoria, La"
01-14-066,Villa del Río
01-14-067,Villafranca de Córdoba
01-14-068,Villaharta
01-14-069,Villanueva de Córdoba
01-14-070,Villanueva del Duque
01-14-071,Villanueva del Rey
01-14-072,Villaralto
01-14-073,Villaviciosa de Córdoba
01-14-074,"Viso, El"
01-14-075,Zuheros
11-15-001,Abegondo
11-15-002,Ames
11-15-003,Aranga
11-15-004,Ares
11-15-005,Arteixo
11-15-006,Arzúa
11-15-007,"Baña, A"
11-15-008,Bergondo
11-15-009,Betanzos
11-15-010,Boimorto
11-15-011,Boiro
11-15-012,Boqueixón
11-15-013,Brión
11-15-014,Cabana de Bergantiños
11-15-015,Cabanas
11-15-016,Camariñas
11-15-017,Cambre
11-15-018,"Capela, A"
11-15-019,Carballo
11-15-020,Carnota
11-15-021,Carral
11-15-022,Cedeira
11-15-023,Cee
11-15-024,Cerceda
11-15-025,Cerdido
11-15-026,Cesuras
11-15-027,Coirós
11-15-028,Corcubión
11-15-029,Coristanco
11-15-030,"Coruña, A"
11-15-031,Culleredo
11-15-032,Curtis
11-15-033,Dodro
11-15-034,Dumbría
11-15-035,Fene
11-15-036,Ferrol
11-15-037,Fisterra
11-15-038,Frades
11-15-039,Irixoa
11-15-040,Laxe
11-15-041,"Laracha, A"
11-15-042,Lousame
11-15-043,Malpica de Bergantiños
11-15-044,Mañón
11-15-045,Mazaricos
11-15-046,Melide
11-15-047,Mesía
11-15-048,Miño
11-15-049,Moeche
11-15-050,Monfero
11-15-051,Mugardos
11-15-052,Muxía
11-15-053,Muros
11-15-054,Narón
11-15-055,Neda
11-15-056,Negreira
11-15-057,Noia
11-15-058,Oleiros
11-15-059,Ordes
11-15-060,Oroso
11-15-061,Ortigueira
11-15-062,Outes
11-15-063,Oza dos Ríos
11-15-064,Paderne
11-15-065,Padrón
11-15-066,"Pino, O"
11-15-067,"Pobra do Caramiñal, A"
11-15-068,Ponteceso
11-15-069,Pontedeume
11-15-070,"Pontes de García Rodríguez, As"
11-15-071,Porto do Son
11-15-072,Rianxo
11-15-073,Ribeira
11-15-074,Rois
11-15-075,Sada
11-15-076,San Sadurniño
11-15-077,Santa Comba
11-15-078,Santiago de Compostela
11-15-079,Santiso
11-15-080,Sobrado
11-15-081,"Somozas, As"
11-15-082,Teo
11-15-083,Toques
11-15-084,Tordoia
11-15-085,Touro
11-15-086,Trazo
11-15-087,Valdoviño
11-15-088,Val do Dubra
11-15-089,Vedra
11-15-090,Vilasantar
11-15-091,Vilarmaior
11-15-092,Vimianzo
11-15-093,Zas
11-15-901,Cariño
07-16-001,Abia de la Obispalía
07-16-002,"Acebrón, El"
07-16-003,Alarcón
07-16-004,Albaladejo del Cuende
07-16-005,Albalate de las Nogueras
07-16-006,Albendea
07-16-007,"Alberca de Záncara, La"
07-16-008,Alcalá de la Vega
07-16-009,Alcantud
07-16-010,Alcázar del Rey
07-16-011,Alcohujate
07-16-012,Alconchel de la Estrella
07-16-013,Algarra
07-16-014,Aliaguilla
07-16-015,"Almarcha, La"
07-16-016,Almendros
07-16-017,Almodóvar del Pinar
07-16-018,Almonacid del Marquesado
07-16-019,Altarejos
07-16-020,Arandilla del Arroyo
07-16-022,Arcos de la Sierra
07-16-023,Chillarón de Cuenca
07-16-024,Arguisuelas
07-16-025,Arrancacepas
07-16-026,Atalaya del Cañavate
07-16-027,Barajas de Melo
07-16-029,Barchín del Hoyo
07-16-030,Bascuñana de San Pedro
07-16-031,Beamud
07-16-032,Belinchón
07-16-033,Belmonte
07-16-034,Belmontejo
07-16-035,Beteta
07-16-036,Boniches
07-16-038,Buciegas
07-16-039,Buenache de Alarcón
07-16-040,Buenache de la Sierra
07-16-041,Buendía
07-16-042,Campillo de Altobuey
07-16-043,Campillos-Paravientos
07-16-044,Campillos-Sierra
07-16-045,Canalejas del Arroyo
07-16-046,Cañada del Hoyo
07-16-047,Cañada Juncosa
07-16-048,Cañamares
07-16-049,"Cañavate, El"
07-16-050,Cañaveras
07-16-051,Cañaveruelas
07-16-052,Cañete
07-16-053,Cañizares
07-16-055,Carboneras de Guadazaón
07-16-056,Cardenete
07-16-057,Carrascosa
07-16-058,Carrascosa de Haro
07-16-060,Casas de Benítez
07-16-061,Casas de Fernando Alonso
07-16-062,Casas de Garcimolina
07-16-063,Casas de Guijarro
07-16-064,Casas de Haro
07-16-065,Casas de los Pinos
07-16-066,Casasimarro
07-16-067,Castejón
07-16-068,Castillejo de Iniesta
07-16-070,Castillejo-Sierra
07-16-071,Castillo-Albaráñez
07-16-072,Castillo de Garcimuñoz
07-16-073,Cervera del Llano
07-16-074,"Cierva, La"
07-16-078,Cuenca
07-16-079,Cueva del Hierro
07-16-081,Chumillas
07-16-082,Enguídanos
07-16-083,Fresneda de Altarejos
07-16-084,Fresneda de la Sierra
07-16-085,"Frontera, La"
07-16-086,Fuente de Pedro Naharro
07-16-087,Fuentelespino de Haro
07-16-088,Fuentelespino de Moya
07-16-089,Fuentes
07-16-091,Fuertescusa
07-16-092,Gabaldón
07-16-093,Garaballa
07-16-094,Gascueña
07-16-095,Graja de Campalbo
07-16-096,Graja de Iniesta
07-16-097,Henarejos
07-16-098,"Herrumblar, El"
07-16-099,"Hinojosa, La"
07-16-100,"Hinojosos, Los"
07-16-101,"Hito, El"
07-16-102,Honrubia
07-16-103,Hontanaya
07-16-104,Hontecillas
07-16-106,Horcajo de Santiago
07-16-107,Huélamo
07-16-108,Huelves
07-16-109,Huérguina
07-16-110,Huerta de la Obispalía
07-16-111,Huerta del Marquesado
07-16-112,Huete
07-16-113,Iniesta
07-16-115,Laguna del Marquesado
07-16-116,Lagunaseca
07-16-117,Landete
07-16-118,Ledaña
07-16-119,Leganiel
07-16-121,"Majadas, Las"
07-16-122,Mariana
07-16-123,Masegosa
07-16-124,"Mesas, Las"
07-16-125,Minglanilla
07-16-126,Mira
07-16-128,Monreal del Llano
07-16-129,Montalbanejo
07-16-130,Montalbo
07-16-131,Monteagudo de las Salinas
07-16-132,Mota de Altarejos
07-16-133,Mota del Cuervo
07-16-134,Motilla del Palancar
07-16-135,Moya
07-16-137,Narboneta
07-16-139,Olivares de Júcar
07-16-140,Olmeda de la Cuesta
07-16-141,Olmeda del Rey
07-16-142,Olmedilla de Alarcón
07-16-143,Olmedilla de Eliz
07-16-145,Osa de la Vega
07-16-146,Pajarón
07-16-147,Pajaroncillo
07-16-148,Palomares del Campo
07-16-149,Palomera
07-16-150,Paracuellos
07-16-151,Paredes
07-16-152,"Parra de las Vegas, La"
07-16-153,"Pedernoso, El"
07-16-154,"Pedroñeras, Las"
07-16-155,"Peral, El"
07-16-156,"Peraleja, La"
07-16-157,"Pesquera, La"
07-16-158,"Picazo, El"
07-16-159,Pinarejo
07-16-160,Pineda de Gigüela
07-16-161,Piqueras del Castillo
07-16-162,Portalrubio de Guadamejud
07-16-163,Portilla
07-16-165,Poyatos
07-16-166,Pozoamargo
07-16-167,Pozorrubio de Santiago
07-16-169,"Pozuelo, El"
07-16-170,Priego
07-16-171,"Provencio, El"
07-16-172,Puebla de Almenara
07-16-173,"Valle de Altomira, El"
07-16-174,Puebla del Salvador
07-16-175,Quintanar del Rey
07-16-176,Rada de Haro
07-16-177,Reíllo
07-16-181,Rozalén del Monte
07-16-185,Saceda-Trasierra
07-16-186,Saelices
07-16-187,Salinas del Manzano
07-16-188,Salmeroncillos
07-16-189,Salvacañete
07-16-190,San Clemente
07-16-191,San Lorenzo de la Parrilla
07-16-192,San Martín de Boniches
07-16-193,San Pedro Palmiches
07-16-194,Santa Cruz de Moya
07-16-195,Santa María del Campo Rus
07-16-196,Santa María de los Llanos
07-16-197,Santa María del Val
07-16-198,Sisante
07-16-199,Solera de Gabaldón
07-16-202,Talayuelas
07-16-203,Tarancón
07-16-204,Tébar
07-16-205,Tejadillos
07-16-206,Tinajas
07-16-209,Torralba
07-16-211,Torrejoncillo del Rey
07-16-212,Torrubia del Campo
07-16-213,Torrubia del Castillo
07-16-215,Tragacete
07-16-216,Tresjuncos
07-16-217,Tribaldos
07-16-218,Uclés
07-16-219,Uña
07-16-224,Valdemeca
07-16-225,Valdemorillo de la Sierra
07-16-227,Valdemoro-Sierra
07-16-228,Valdeolivas
07-16-231,Valhermoso de la Fuente
07-16-234,Valsalobre
07-16-236,Valverde de Júcar
07-16-237,Valverdejo
07-16-238,Vara de Rey
07-16-239,Vega del Codorno
07-16-240,Vellisca
07-16-242,Villaconejos de Trabaque
07-16-243,Villaescusa de Haro
07-16-244,Villagarcía del Llano
07-16-245,Villalba de la Sierra
07-16-246,Villalba del Rey
07-16-247,Villalgordo del Marquesado
07-16-248,Villalpardo
07-16-249,Villamayor de Santiago
07-16-250,Villanueva de Guadamejud
07-16-251,Villanueva de la Jara
07-16-253,Villar de Cañas
07-16-254,Villar de Domingo García
07-16-255,Villar de la Encina
07-16-258,Villar del Humo
07-16-259,Villar del Infantado
07-16-263,Villar de Olalla
07-16-264,Villarejo de Fuentes
07-16-265,Villarejo de la Peñuela
07-16-266,Villarejo-Periesteban
07-16-269,Villares del Saz
07-16-270,Villarrubio
07-16-271,Villarta
07-16-272,Villas de la Ventosa
07-16-273,Villaverde y Pasaconsol
07-16-274,Víllora
07-16-275,Vindel
07-16-276,Yémeda
07-16-277,Zafra de Záncara
07-16-278,Zafrilla
07-16-279,Zarza de Tajo
07-16-280,Zarzuela
07-16-901,Campos del Paraíso
07-16-902,Valdetórtola
07-16-903,"Valeras, Las"
07-16-904,Fuentenava de Jábaga
07-16-905,Arcas
07-16-906,"Valdecolmenas, Los"
07-16-908,Pozorrubielos de la Mancha
07-16-909,Sotorribas
07-16-910,Villar y Velasco
09-17-001,Agullana
09-17-002,Aiguaviva
09-17-003,Albanyà
09-17-004,Albons
09-17-005,"Far d'Empordà, El"
09-17-006,Alp
09-17-007,Amer
09-17-008,Anglès
09-17-009,Arbúcies
09-17-010,Argelaguer
09-17-011,"Armentera, L'"
09-17-012,Avinyonet de Puigventós
09-17-013,Begur
09-17-014,"Vajol, La"
09-17-015,Banyoles
09-17-016,Bàscara
09-17-018,Bellcaire d'Empordà
09-17-019,Besalú
09-17-020,Bescanó
09-17-021,Beuda
09-17-022,"Bisbal d'Empordà, La"
09-17-023,Blanes
09-17-024,Bolvir
09-17-025,Bordils
09-17-026,Borrassà
09-17-027,Breda
09-17-028,Brunyola i Sant Martí Sapresa
09-17-029,Boadella i les Escaules
09-17-030,Cabanes
09-17-031,Cabanelles
09-17-032,Cadaqués
09-17-033,Caldes de Malavella
09-17-034,Calonge i Sant Antoni
09-17-035,Camós
09-17-036,Campdevànol
09-17-037,Campelles
09-17-038,Campllong
09-17-039,Camprodon
09-17-040,Canet d'Adri
09-17-041,Cantallops
09-17-042,Capmany
09-17-043,Queralbs
09-17-044,Cassà de la Selva
09-17-046,Castellfollit de la Roca
09-17-047,Castelló d'Empúries
09-17-048,Castell-Platja d'Aro
09-17-049,Celrà
09-17-050,Cervià de Ter
09-17-051,Cistella
09-17-052,Siurana
09-17-054,Colera
09-17-055,Colomers
09-17-056,Cornellà del Terri
09-17-057,Corçà
09-17-058,Crespià
09-17-060,Darnius
09-17-061,Das
09-17-062,"Escala, L'"
09-17-063,Espinelves
09-17-064,Espolla
09-17-065,Esponellà
09-17-066,Figueres
09-17-067,Flaçà
09-17-068,Foixà
09-17-069,Fontanals de Cerdanya
09-17-070,Fontanilles
09-17-071,Fontcoberta
09-17-073,Fornells de la Selva
09-17-074,Fortià
09-17-075,Garrigàs
09-17-076,Garrigoles
09-17-077,Garriguella
09-17-078,Ger
09-17-079,Girona
09-17-080,Gombrèn
09-17-081,Gualta
09-17-082,Guils de Cerdanya
09-17-083,Hostalric
09-17-084,Isòvol
09-17-085,Jafre
09-17-086,"Jonquera, La"
09-17-087,Juià
09-17-088,Lladó
09-17-089,Llagostera
09-17-090,Llambilles
09-17-091,Llanars
09-17-092,Llançà
09-17-093,Llers
09-17-094,Llívia
09-17-095,Lloret de Mar
09-17-096,"Llosses, Les"
09-17-097,Madremanya
09-17-098,Maià de Montcal
09-17-099,Meranges
09-17-100,Masarac
09-17-101,Massanes
09-17-102,Maçanet de Cabrenys
09-17-103,Maçanet de la Selva
09-17-105,Mieres
09-17-106,Mollet de Peralada
09-17-107,Molló
09-17-109,Montagut i Oix
09-17-110,Mont-ras
09-17-111,Navata
09-17-112,Ogassa
09-17-114,Olot
09-17-115,Ordis
09-17-116,Osor
09-17-117,Palafrugell
09-17-118,Palamós
09-17-119,Palau de Santa Eulàlia
09-17-120,Palau-saverdera
09-17-121,Palau-sator
09-17-123,Palol de Revardit
09-17-124,Pals
09-17-125,Pardines
09-17-126,Parlavà
09-17-128,Pau
09-17-129,Pedret i Marzà
09-17-130,"Pera, La"
09-17-132,Peralada
09-17-133,"Planes d'Hostoles, Les"
09-17-134,Planoles
09-17-135,Pont de Molins
09-17-136,Pontós
09-17-137,Porqueres
09-17-138,Portbou
09-17-139,"Preses, Les"
09-17-140,"Port de la Selva, El"
09-17-141,Puigcerdà
09-17-142,Quart
09-17-143,Rabós
09-17-144,Regencós
09-17-145,Ribes de Freser
09-17-146,Riells i Viabrea
09-17-147,Ripoll
09-17-148,Riudarenes
09-17-149,Riudaura
09-17-150,Riudellots de la Selva
09-17-151,Riumors
09-17-152,Roses
09-17-153,Rupià
09-17-154,Sales de Llierca
09-17-155,Salt
09-17-157,Sant Andreu Salou
09-17-158,Sant Climent Sescebes
09-17-159,Sant Feliu de Buixalleu
09-17-160,Sant Feliu de Guíxols
09-17-161,Sant Feliu de Pallerols
09-17-162,Sant Ferriol
09-17-163,Sant Gregori
09-17-164,Sant Hilari Sacalm
09-17-165,Sant Jaume de Llierca
09-17-166,Sant Jordi Desvalls
09-17-167,Sant Joan de les Abadesses
09-17-168,Sant Joan de Mollet
09-17-169,Sant Julià de Ramis
09-17-170,Vallfogona de Ripollès
09-17-171,Sant Llorenç de la Muga
09-17-172,Sant Martí de Llémena
09-17-173,Sant Martí Vell
09-17-174,Sant Miquel de Campmajor
09-17-175,Sant Miquel de Fluvià
09-17-176,Sant Mori
09-17-177,Sant Pau de Segúries
09-17-178,Sant Pere Pescador
09-17-180,Santa Coloma de Farners
09-17-181,Santa Cristina d'Aro
09-17-182,Santa Llogaia d'Àlguema
09-17-183,Sant Aniol de Finestres
09-17-184,Santa Pau
09-17-185,Sant Joan les Fonts
09-17-186,Sarrià de Ter
09-17-187,"Saus, Camallera i Llampaies"
09-17-188,"Selva de Mar, La"
09-17-189,"Cellera de Ter, La"
09-17-190,Serinyà
09-17-191,Serra de Daró
09-17-192,Setcases
09-17-193,Sils
09-17-194,Susqueda
09-17-195,"Tallada d'Empordà, La"
09-17-196,Terrades
09-17-197,Torrent
09-17-198,Torroella de Fluvià
09-17-199,Torroella de Montgrí
09-17-200,Tortellà
09-17-201,Toses
09-17-202,Tossa de Mar
09-17-203,Ultramort
09-17-204,Ullà
09-17-205,Ullastret
09-17-206,Urús
09-17-207,"Vall d'en Bas, La"
09-17-208,"Vall de Bianya, La"
09-17-209,Vall-llobrega
09-17-210,Ventalló
09-17-211,Verges
09-17-212,Vidrà
09-17-213,Vidreres
09-17-214,Vilabertran
09-17-215,Vilablareix
09-17-216,Viladasens
09-17-217,Viladamat
09-17-218,Vilademuls
09-17-220,Viladrau
09-17-221,Vilafant
09-17-222,Vilaür
09-17-223,Vilajuïga
09-17-224,Vilallonga de Ter
09-17-225,Vilamacolum
09-17-226,Vilamalla
09-17-227,Vilamaniscle
09-17-228,Vilanant
09-17-230,Vila-sacra
09-17-232,Vilopriu
09-17-233,Vilobí d'Onyar
09-17-234,Biure
09-17-901,"Cruïlles, Monells i Sant Sadurní de l'Heura"
09-17-902,Forallac
09-17-903,Sant Julià del Llor i Bonmatí
01-18-001,Agrón
01-18-002,Alamedilla
01-18-003,Albolote
01-18-004,Albondón
01-18-005,Albuñán
01-18-006,Albuñol
01-18-007,Albuñuelas
01-18-010,Aldeire
01-18-011,Alfacar
01-18-012,Algarinejo
01-18-013,Alhama de Granada
01-18-014,Alhendín
01-18-015,Alicún de Ortega
01-18-016,Almegíjar
01-18-017,Almuñécar
01-18-018,Alquife
01-18-020,Arenas del Rey
01-18-021,Armilla
01-18-022,Atarfe
01-18-023,Baza
01-18-024,Beas de Granada
01-18-025,Beas de Guadix
01-18-027,Benalúa
01-18-028,Benalúa de las Villas
01-18-029,Benamaurel
01-18-030,Bérchules
01-18-032,Bubión
01-18-033,Busquístar
01-18-034,Cacín
01-18-035,Cádiar
01-18-036,Cájar
01-18-037,Calicasas
01-18-038,Campotéjar
01-18-039,Caniles
01-18-040,Cáñar
01-18-042,Capileira
01-18-043,Carataunas
01-18-044,Cástaras
01-18-045,Castilléjar
01-18-046,Castril
01-18-047,Cenes de la Vega
01-18-048,Cijuela
01-18-049,Cogollos de Guadix
01-18-050,Cogollos de la Vega
01-18-051,Colomera
01-18-053,Cortes de Baza
01-18-054,Cortes y Graena
01-18-056,Cúllar
01-18-057,Cúllar Vega
01-18-059,Chauchina
01-18-061,Chimeneas
01-18-062,Churriana de la Vega
01-18-063,Darro
01-18-064,Dehesas de Guadix
01-18-066,Deifontes
01-18-067,Diezma
01-18-068,Dílar
01-18-069,Dólar
01-18-070,Dúdar
01-18-071,Dúrcal
01-18-072,Escúzar
01-18-074,Ferreira
01-18-076,Fonelas
01-18-078,Freila
01-18-079,Fuente Vaqueros
01-18-082,Galera
01-18-083,Gobernador
01-18-084,Gójar
01-18-085,Gor
01-18-086,Gorafe
01-18-087,Granada
01-18-088,Guadahortuna
01-18-089,Guadix
01-18-093,Gualchos
01-18-094,Güéjar Sierra
01-18-095,Güevéjar
01-18-096,Huélago
01-18-097,Huéneja
01-18-098,Huéscar
01-18-099,Huétor de Santillán
01-18-100,Huétor Tájar
01-18-101,Huétor Vega
01-18-102,Íllora
01-18-103,Ítrabo
01-18-105,Iznalloz
01-18-107,Jayena
01-18-108,Jérez del Marquesado
01-18-109,Jete
01-18-111,Jun
01-18-112,Juviles
01-18-114,"Calahorra, La"
01-18-115,Láchar
01-18-116,Lanjarón
01-18-117,Lanteira
01-18-119,Lecrín
01-18-120,Lentegí
01-18-121,Lobras
01-18-122,Loja
01-18-123,Lugros
01-18-124,Lújar
01-18-126,"Malahá, La"
01-18-127,Maracena
01-18-128,Marchal
01-18-132,Moclín
01-18-133,Molvízar
01-18-134,Monachil
01-18-135,Montefrío
01-18-136,Montejícar
01-18-137,Montillana
01-18-138,Moraleda de Zafayona
01-18-140,Motril
01-18-141,Murtas
01-18-143,Nigüelas
01-18-144,Nívar
01-18-145,Ogíjares
01-18-146,Orce
01-18-147,Órgiva
01-18-148,Otívar
01-18-149,Villa de Otura
01-18-150,Padul
01-18-151,Pampaneira
01-18-152,Pedro Martínez
01-18-153,Peligros
01-18-154,"Peza, La"
01-18-157,Pinos Genil
01-18-158,Pinos Puente
01-18-159,Píñar
01-18-161,Polícar
01-18-162,Polopos
01-18-163,Pórtugos
01-18-164,Puebla de Don Fadrique
01-18-165,Pulianas
01-18-167,Purullena
01-18-168,Quéntar
01-18-170,Rubite
01-18-171,Salar
01-18-173,Salobreña
01-18-174,Santa Cruz del Comercio
01-18-175,Santa Fe
01-18-176,Soportújar
01-18-177,Sorvilán
01-18-178,Torre-Cardela
01-18-179,Torvizcón
01-18-180,Trevélez
01-18-181,Turón
01-18-182,Ugíjar
01-18-183,Válor
01-18-184,Vélez de Benaudalla
01-18-185,Ventas de Huelma
01-18-187,Villanueva de las Torres
01-18-188,Villanueva Mesía
01-18-189,Víznar
01-18-192,Zafarraya
01-18-193,"Zubia, La"
01-18-194,Zújar
01-18-901,"Taha, La"
01-18-902,"Valle, El"
01-18-903,Nevada
01-18-904,Alpujarra de la Sierra
01-18-905,"Gabias, Las"
01-18-906,"Guájares, Los"
01-18-907,Valle del Zalabí
01-18-908,Villamena
01-18-909,Morelábor
01-18-910,"Pinar, El"
01-18-911,Vegas del Genil
01-18-912,Cuevas del Campo
01-18-913,Zagra
07-19-001,Abánades
07-19-002,Ablanque
07-19-003,Adobes
07-19-004,Alaminos
07-19-005,Alarilla
07-19-006,Albalate de Zorita
07-19-007,Albares
07-19-008,Albendiego
07-19-009,Alcocer
07-19-010,Alcolea de las Peñas
07-19-011,Alcolea del Pinar
07-19-013,Alcoroches
07-19-015,Aldeanueva de Guadalajara
07-19-016,Algar de Mesa
07-19-017,Algora
07-19-018,Alhóndiga
07-19-019,Alique
07-19-020,Almadrones
07-19-021,Almoguera
07-19-022,Almonacid de Zorita
07-19-023,Alocén
07-19-024,Alovera
07-19-027,Alustante
07-19-031,Angón
07-19-032,Anguita
07-19-033,Anquela del Ducado
07-19-034,Anquela del Pedregal
07-19-036,Aranzueque
07-19-037,Arbancón
07-19-038,Arbeteta
07-19-039,Argecilla
07-19-040,Armallones
07-19-041,Armuña de Tajuña
07-19-042,Arroyo de las Fraguas
07-19-043,Atanzón
07-19-044,Atienza
07-19-045,Auñón
07-19-046,Azuqueca de Henares
07-19-047,Baides
07-19-048,Baños de Tajo
07-19-049,Bañuelos
07-19-050,Barriopedro
07-19-051,Berninches
07-19-052,"Bodera, La"
07-19-053,Brihuega
07-19-054,Budia
07-19-055,Bujalaro
07-19-057,Bustares
07-19-058,Cabanillas del Campo
07-19-059,Campillo de Dueñas
07-19-060,Campillo de Ranas
07-19-061,Campisábalos
07-19-064,Canredondo
07-19-065,Cantalojas
07-19-066,Cañizar
07-19-067,"Cardoso de la Sierra, El"
07-19-070,Casa de Uceda
07-19-071,"Casar, El"
07-19-073,Casas de San Galindo
07-19-074,Caspueñas
07-19-075,Castejón de Henares
07-19-076,Castellar de la Muela
07-19-078,Castilforte
07-19-079,Castilnuevo
07-19-080,Cendejas de Enmedio
07-19-081,Cendejas de la Torre
07-19-082,Centenera
07-19-086,Cifuentes
07-19-087,Cincovillas
07-19-088,Ciruelas
07-19-089,Ciruelos del Pinar
07-19-090,Cobeta
07-19-091,Cogollor
07-19-092,Cogolludo
07-19-095,Condemios de Abajo
07-19-096,Condemios de Arriba
07-19-097,Congostrina
07-19-098,Copernal
07-19-099,Corduente
07-19-102,"Cubillo de Uceda, El"
07-19-103,Checa
07-19-104,Chequilla
07-19-105,Chiloeches
07-19-106,Chillarón del Rey
07-19-107,Driebes
