denominacion,siglas
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",IU-UPeC-IAS
"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A",CANARIAS DE
COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO,CCa-PNC
PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,PSOE-NCa
"UNIDAD POPULAR: IZQUIERDA UNIDA CANARIA, UNIDAD PO",IUC-UPeC
UNIÓ DEMOCRÀTICA DE CATALUNYA,Unio.Cat
PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),PSC
EN POSITIU,EN POSITIU
"ARA, PAÍS VALENCIÀ","ARA, PV"
AVANT VALENCIANS,AVANT
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",UPeC-IU-IZC
UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA,IU-UpeC
"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA","JS,PC"
ESCAÑOS EN BLANCO-AULKI ZURIAK,EB-AZ
EZKERRA-X LA IZQUIERDA,EZKERRA
UNIDAD POPULAR-IZQUIERDA UNIDA,UNIDAD POPU
RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE
UNIDOS PODEMOS/ELKARREKIN AHAL DUGU,PODEMOS/AHAL DUGU-IU-EQUO
UNIDOS PODEMOS,PODEMOS-IU-EQUO
LOS VERDES-ECOPACIFISTAS,CENTRO MODERADO
UNIDOS PODEMOS POR ANDALUCÍA,PODEMOS-IU-
IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA,IZAR
SOBIRANIA PER A LES ILLES,SI
UNITS PODEM MÉS,PODEMOS-EUI
EN COMÚ PODEM-GUANYEM EL CANVI,ECP
CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA,CDC
INICIATIVA MERINDADES DE CASTILLA,IMC
PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLO,AND
BNG-NÓS CANDIDATURA GALEGA,BNG-NÓS
EN MAREA,PODEMOS-EN MAREA-ANOVA-EU
ENTABAN,ENTABAN
MOVIMIENTO ARAGONÉS SOCIAL,MAS
ALIANZA DE CENTRO DEMOCRÁTICO,ALCD
HEGOALDE RIOJA-LIBERTAD NAVARRA,HRTS-Ln
UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS
LA FUERZA DE LOS MAYORES DE ESPAÑA,FME
UNIDOS PODEMOS-ELKARREKIN AHAL DUGU,PODEMOS-IU-EQUO-BATZARRE
JUNTOS POR CANARIAS,JXC
UNIDOS PODEMOS,PODEMOS-IU-EQUO-SEGOVIEMOS
INDEPENDIENTES POR ARAGÓN,INDEPENDIEN
UNIÓN DE TODOS,UDT
RENOVACIO POLITICA,REPO
UNIDOS PODEMOS,PODEMOS-IU-EQUO-IZCA
CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEP,CCD-CI
UNIDOS PODEMOS,UNIDOS PODEMOS
PARTIDO COMUNISTA DE LOS TRABAJADORES DE EUSKADI/E,PCTE/ELAK
CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Cs
PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,PCTE
LOS VERDES ECOPACIFISTAS ADELANTE,AVANT-LOS V
UNIDAS PODEMOS,PODEMOS-EUP
COMPROMÍS: BLOC-INICIATIVA-VERDSEQUO,COMPROMÍS 2
UNIDAS PODEMOS,PODEMOS-IU
PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,PCPA
ACTÚA,PACT
DEFENSA DE LO PÚBLICO,DP
EXTREMEÑOS PREX CREX,C.Ex-C.R.Ex
Veus PROGRESSISTES,ARA-MES-ESQ
IZQUIERDA EN POSITIVO,IZQP
CONVERGENTS,CNV
JUNTS PER CATALUNYA-JUNTS,JxCAT-JUNTS
ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES,ERC-SOBIRAN
POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALU,FRONT REPUB
EN COMÚ PODEM - GUANYEM EL CANVI,ECP-GUANYEM
PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA,PCTC
ANDALUCÍA POR SÍ,AxSI
AVANT ADELANTE LOS VERDES,AVANT ADELA
PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS - UNID,PDSJE-UDEC
PARTIDO COMUNISTA DOS TRABALLADORES DE GALIZA,PCTG
COMPROMISO POR GALICIA,CxG
EN MAREA,EN MAREA
EN COMÚN-UNIDAS PODEMOS,PODEMOS-EU-
PARTIDO DE JUBILADOS POR EL FUTURO. DIGNIDAD Y DEM,"""JF"""
EUSKADIKO LANGILEEN ALDERDI KOMUNISTA/PARTIDO COMU,ELAK/PCTE
FEDERACION DE LOS INDEPENDIENTES DE ARAGON,FIA
PUYALON,PYLN
CIUDADANOS INDEPENDIENTES DE LINARES UNIDOS,CILU-LINARE
PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALU,RISA
PARTIDO RIOJANO,PR+
CONVERXENCIA 21,C 21
SOMOS REGIÓN,SOMOS REGIÓ
DEMOCRACIA PLURAL,DPL
"NAVARRA SUMA","NA+"
VIVIR OURENSE,VOU
ANDECHA ASTUR,ANDECHA AST
UNIDAS PODEMOS-XUNIES PODEMOS,PODEMOS-IX-
AHORA CANARIAS: Alternativa Nacionalista Canaria A,AHORA CANAR
NUEVA CANARIAS,NCa
FEMINISM8,F8
PARTIDO REGIONALISTA DE CANTABRIA,PRC
CENTRADOS,centrados
PLATAFORMA DEL PUEBLO SORIANO,PPSO
SOM VALENCIANS EN MOVIMENT,UIG-SOM-CUI
UNIÓN REGIONALISTA DE CASTILLA Y LEÓN,UNIÓN REGIO
PARTIDO DE ACCIÓN SOLIDARIA EUROPEA,SOLIDARIA
COALICION POR MELILLA,CpM
RECORTES CERO-GRUPO VERDE,RECORTES CERO-GV
PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS,PDSJE
RECORTES CERO-GRUPO VERDE-PARTIDO CASTELLANO-TIERRA COMUNERA,RECORTES CERO-GV-PCAS-TC
MÉS COMPROMÍS,MÉS COMPROM
UNIDAS PODEMOS-UNIDES PODEM,PODEMOS-EUPV
LOS VERDES ECOPACIFISTAS ADELANTE,AVANT ADELANTE LOS VERDES
ANDALUCÍA POR SÍ,AxSÍ
UNIDAS PODEMOS,PODEMOS-IU LV CA
POR ÁVILA,XAV
MÁS PAÍS,M PAÍS
UNIDAS PODEMOS-UNIDES PODEM,PODEMOS-EUIB
MÉS ESQUERRA,MÉS-ESQUERR
ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES,ERC-SOBIRANISTES
CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA,CUP-PR
MÁS PAÍS,MÁS PAÍS
INICIATIVA FEMINISTA,I.Fem
MÁS PAÍS-ANDALUCÍA,MÁS PAÍS-AN
AUNA COMUNITAT VALENCIANA,AUNACV
AVANT ADELANTE LOS VERDES,AVANT LOS VERDES
MÁS PAÍS-EQUO,MÁS PAÍS-EQ
EN COMÚN-UNIDAS PODEMOS,PODEMOS-EU
CONVERGENCIA ANDALUZA,CAnda
CONTIGO SOMOS DEMOCRACIA,CONTIGO
UNIDAS PODEMOS,PODEMOS-IU-BATZARRE
UNIDAS PODEMOS-XUNÍES PODEMOS,PODEMOS-IX
AHORA CANARIAS: Alternativa Nacionalista Canaria (ANC) y Unidad del Pueblo,AHORA CANARIAS
NUEVA CANARIAS-COALICIÓN CANARIA,NC-CCa-PNC
COALICIÓN CANARIA-NUEVA CANARIAS,CCa-PNC-NC
AGRUPACIÓN DE ELECTORES TERUEL EXISTE,¡TERUEL EXI
SOM VALENCIANS EN MOVIMENT,UIG-SOM-CUIDES
UNIDOS Actuando por la Democracia,UNIDOS SÍ-A
MÁS PAÍS-CANDIDATURA ECOLOGISTA,MÁS PAÍS-CA
MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO,M PAÍS-CHA-
MOVIMIENTO POR LA DIGNIDAD Y LA CIUDADANÍA DE CEUT,MDyC
